Date,Year,Month,TransactionVolume_Cr,TransactionValue_RsCr,AvgTransactionValue_Rs,YoY_Volume_Growth_%
01-01-2018,2018,Jan,15.1,46100,3052.98,
01-02-2018,2018,Feb,17.1,54210,3170.18,
01-03-2018,2018,Mar,19,58650,3086.84,
01-04-2018,2018,Apr,22.1,67320,3046.15,
01-05-2018,2018,May,24.2,70770,2924.38,
01-06-2018,2018,Jun,25.4,75450,2970.47,
01-07-2018,2018,Jul,27.3,81900,3000,
01-08-2018,2018,Aug,31.2,84980,2723.72,
01-09-2018,2018,Sep,33.5,90120,2690.15,
01-10-2018,2018,Oct,48.2,100150,2077.8,
01-11-2018,2018,Nov,52.1,105400,2023.03,
01-12-2018,2018,Dec,62,112300,1811.29,
01-01-2019,2019,Jan,67.2,120500,1793.15,345.03
01-02-2019,2019,Feb,68.1,132400,1944.2,298.25
01-03-2019,2019,Mar,79.9,141200,1767.21,320.53
01-04-2019,2019,Apr,82.7,151500,1831.92,274.21
01-05-2019,2019,May,88.9,163400,1838.02,267.36
01-06-2019,2019,Jun,92.1,172300,1870.79,262.6
01-07-2019,2019,Jul,95.5,181400,1899.48,249.82
01-08-2019,2019,Aug,99.9,189200,1893.89,220.19
01-09-2019,2019,Sep,96.4,191300,1984.44,187.76
01-10-2019,2019,Oct,114.8,201200,1752.61,138.17
01-11-2019,2019,Nov,121.9,212100,1739.95,133.97
01-12-2019,2019,Dec,130.8,221300,1691.9,110.97
01-01-2020,2020,Jan,131.2,216200,1647.87,95.24
01-02-2020,2020,Feb,132.5,222500,1679.25,94.57
01-03-2020,2020,Mar,124.7,206400,1655.17,56.07
01-04-2020,2020,Apr,99.9,151100,1512.51,20.8
01-05-2020,2020,May,123.3,218300,1770.48,38.7
01-06-2020,2020,Jun,133.7,261800,1958.12,45.17
01-07-2020,2020,Jul,149.6,290500,1941.84,56.65
01-08-2020,2020,Aug,161.8,328900,2032.76,61.96
01-09-2020,2020,Sep,180.4,329000,1823.73,87.14
01-10-2020,2020,Oct,207.1,386100,1864.32,80.4
01-11-2020,2020,Nov,221.1,390900,1767.98,81.38
01-12-2020,2020,Dec,223.4,416100,1862.58,70.8
01-01-2021,2021,Jan,230.3,431100,1871.91,75.53
01-02-2021,2021,Feb,229.3,425000,1853.47,73.06
01-03-2021,2021,Mar,273.2,504800,1847.73,119.09
01-04-2021,2021,Apr,264.2,493600,1868.28,164.46
01-05-2021,2021,May,253.9,490600,1932.26,105.92
01-06-2021,2021,Jun,280.4,547300,1951.85,109.72
01-07-2021,2021,Jul,324.5,606200,1868.1,116.91
01-08-2021,2021,Aug,355.7,639100,1796.74,119.84
01-09-2021,2021,Sep,365.1,654300,1792.11,102.38
01-10-2021,2021,Oct,421.9,771400,1828.4,103.72
01-11-2021,2021,Nov,456.2,822300,1802.5,106.33
01-12-2021,2021,Dec,456,826800,1813.16,104.12
01-01-2022,2022,Jan,461.7,831900,1801.82,100.48
01-02-2022,2022,Feb,452.7,826600,1825.93,97.43
01-03-2022,2022,Mar,540.5,960500,1777.06,97.84
01-04-2022,2022,Apr,558.3,983300,1761.24,111.32
01-05-2022,2022,May,595.5,1041500,1748.95,134.54
01-06-2022,2022,Jun,586.2,1014300,1730.3,109.06
01-07-2022,2022,Jul,628.8,1062900,1690.36,93.78
01-08-2022,2022,Aug,657.8,1072700,1630.74,84.93
01-09-2022,2022,Sep,678,1116700,1647.05,85.7
01-10-2022,2022,Oct,730,1211000,1658.9,73.03
01-11-2022,2022,Nov,730.9,1190500,1628.81,60.21
01-12-2022,2022,Dec,782.9,1282200,1637.76,71.69
01-01-2023,2023,Jan,803.6,1298800,1616.23,74.05
01-02-2023,2023,Feb,753.5,1235800,1640.08,66.45
01-03-2023,2023,Mar,868.5,1405600,1618.42,60.68
01-04-2023,2023,Apr,898.1,1407500,1567.2,60.86
01-05-2023,2023,May,941.5,1430400,1519.28,58.1
01-06-2023,2023,Jun,933.7,1475400,1580.16,59.28
01-07-2023,2023,Jul,996.4,1533700,1539.24,58.46
01-08-2023,2023,Aug,1058.4,1576200,1489.23,60.9
01-09-2023,2023,Sep,1056.2,1580400,1496.31,55.78
01-10-2023,2023,Oct,1141.2,1716500,1504.12,56.33
01-11-2023,2023,Nov,1124.5,1740200,1547.53,53.85
01-12-2023,2023,Dec,1202,1822700,1516.39,53.53
